7581	-18402	-18791	19183	-6258	17727	7039	5178	-6004	7979	-10227	-2569	-12420
6895	10283	5838	-18801	-14654	-18648	-9275	15168	-4163	2924	16891	12974	11175
14903	-14820	-18764	-14557	-18720	-33	-18534	-18615	-12518	-18149	423	-9823	-17060
-8015	19578	19555	17035	-12218	-692	-11750	-5844	-18809	14823	-15864	19860	-9569
-13695	-11649	15323	-11278	-15722	8160	18999	-16004	-19652	2907	-5566	9085	2557
-13044	11954	17896	-4236	-6125	2085	13256	-12694	6620	-18777	-474	-3622	-2107
-18961	11020	6564	8383	-5457	6624	-11752	3774	-9431	-220	-13971	-18892	19641
7615	-14153	14151	-9614	-8597	-9017	9476	-17882	14412	-16014	5962	-14988	2710
18604	-14701	1326	18355	-5401	2376	12057	16557	18311	8133	15147	-14276	-17274
-16155	17132	3585	4674	10912	19349	19731	-4578	-9784	7780	-15547	-11780	10522
-14689	5960	7790	11985	12853	-4183	572	19164	8988	9973	-7919	16887	12231
-13331	-10665	11686	2686	-14048	-3461	-6931	-15750	13333	-18299	-16147	-17161	2835
-5832	-14310	-18179	12223	-17756	16209	-2441	-19626	8280	-4501	-14207	-6799	-2673
2290	13921	-6402	14302	15575	-1412	7340	-12977	-4087	19283	11085	-15497	-271
16481	17040	-10236	-7644	-16930	-6072	19278	10251	-3416	-2954	14750	15483	6063
-11870	-19950	13363	11632	15462	1067	558	-12933	2182	-13117	10069	11325	19979
12019	-19698	16702	-197	1087	6536	-3993	15752	19729	-7391	-15672	2965	2139
-13827	-4945	7461	8213	11263	-11280	-4572	-16914	8834	7383	10189	-14021	211
-3954	11505	15040	-1358	11483	-16236	-7322	6028	71	7286	-9582	-5198	-11950
-15723	6169	11110	8320	-16387	-12044	-9122	-5777	-16727	371	-13708	-14700	15529
-5876	10681	-706	-3284	-287	-19935	4495	8924	4010	1906	14697	12920	-17206
3472	-3486	13687	18234	-11285	5133	-16587	890	-5438	-6052	6758	2268	603
-621	18710	1608	16060	-2058	-9732	10786	8400	8911	4246	-9996	-19266	-16737
-17516	3238	679	1028	-18834	-3450	18037	8073	-6789	-1223	7343	19479	6076
14804	5430	16126	-2022	-5496	17292	-13596	18339	11849	-10879	-13677	-10414	-11874
7827	956	-19899	12079	-4868	19754	4785	-15889	8854	12837	-5981	6723	-18988
-2010	-16673	-7107	17239	16706	-9529	10826	-2812	15708	14476	-13271	19932	-12771
-14900	10428	14086	14654	6969	19225	9826	-12654	11978	-3209	-1099	16314	-17737
-19362	-18588	-3887	4958	13266	12377	-10208	-9259	10189	-161	8686	-10265	-11404
-18615	15822	9365	-670	-5229	-17016	-4937	13539	16992	-18915	-19055	15262	-8723
14436	9099	-884	-18423	14865	-2366	16996	4570	-9223	-14842	-11668	-9063	-12185
-810	13428	10701	11677	4415	15535	-336	-9431	-11345	-7580	-1262	-8888	-17181
14195	-15726	-41	5494	4570	19290	-7976	3633	-2504	6569	15478	13143	6480
18046	5124	11942	-17880	-10043	17788	-4004	-9035	-15369	16314	10472	-8962	11506
10662	1955	-16188	-14728	3237	7845	8149	16914	-7494	18305	12315	-5285	-19263
-11001	-5910	6974	-1970	-3279	-1334	-7953	11128	10356	-4672	-19391	1781	-1438
-7719	18618	12145	8157	-7915	-14738	-6514	5045	-5054	12319	12933	-10873	11768
17249	8898	-831	10308	-16571	-5393	-18105	19991	-1025	4383	-5932	-2419	-19788
-17610	13002	18160	3137	12239	-13990	5885	-3665	-7996	13881	-12982	7991	-2275
916	-104	17644	16238	-5123	11347	10362	-8315	11456	-17270	-9811	-14401	-17496
-16405	12973	17124	-10053	1425	10553	4386	1733	847	-802	7426	-7826	-476
7045	-1202	2429	1504	-8371	-10635	7379	-11061	4581	15946	-12698	-446	-5411
-19311	-11397	6144	-18309	-12777	976	2117	5763	3791	340	6316	-10481	-13030
3765	17316	-950	-4265	-2652	10886	-7134	1467	517	3993	10729	-11277	5208
15308	-18573	9967	-13881	-5578	14077	-18906	14291	4356	7000	8325	-10729	-19192
5432	-12526	8087	7506	662	-6960	13948	-17199	-7170	-2464	-18656	9678	12764
-6152	-19577	11364	-8982	5853	-12519	12683	4964	16940	-16943	9685	8288	-9931
-8223	-15225	-4524	1905	1428	-2655	2061	-11641	8931	2480	12350	-14531	17238
13928	12257	8032	11630	-1702	-12618	7968	3498	12930	-4293	-16962	19515	15710
18255	9785	-1352	-3350	-17526	-12387	-2857	-19286	11167	2099	-3762	-13836	-15056
-3648	-2717	-6042	9131	-15793	16449	-7186	-11779	-7586	-15843	759	-19697	-16776
3997	18206	-3665	-2453	17979	-8986	1341	8046	10027	-12342	1152	-12040	15316
-8823	-11140	17562	-19067	-383	-15078	16725	-17450	7338	8439	5103	-11490	-11535
-526	11064	9357	16414	9964	1104	-15546	-15275	-5526	11627	-983	6550	-14472
14009	17106	13351	-7967	12341	9358	4412	8650	7064	-13980	-16214	-16906	-16438
-219	-4140	4508	-16236	7541	-15338	-13220	-14064	-3239	-15833	-17358	-625	8956
-8377	-9100	-2144	-16156	-711	-5805	655	-928	504	-3719	-7921	-19231	3628
-9586	-7604	14177	10562	-5765	-15572	15404	17906	5053	-4733	15893	11134	-2063
17303	-13337	3090	-9924	8158	-13901	18456	-9756	4279	-1452	-5536	-15094	-3947
19990	-523	12527	-6720	-19227	17823	-5203	7521	-9159	11579	-13386	11304	18766
-10500	-16812	-7158	8362	14989	-15008	9864	-5282	15149	-13989	-5658	17337	-16358
13511	-2242	-834	-16290	-2342	-6489	19507	11289	-1761	19952	7235	-8002	3
12236	-7176	-12690	14389	6220	-15569	726	8380	-9072	6694	8658	-9992	-2209
13525	-615	-11894	12668	-18158	1350	14729	-18657	18289	-11724	13452	-11908	-14115
1697	8019	17276	-5765	-17672	14893	-8955	11528	11148	-3721	-13295	-9893	17047
-13294	2629	-18914	10418	-14308	3226	-2639	4843	17466	-6900	12584	10941	-18029
14074	14317	15278	-17840	-897	-613	4729	4662	16910	15287	9622	-14031	-16228
-17972	9604	-16654	-17857	13661	2579	-8489	659	19643	-829	-10588	-6680	73
-10495	14972	-16550	2638	-18207	-18225	10428	-268	-19506	4987	-6360	7133	3491
3637	19880	-16689	-7810	-2313	-5831	-11022	-14021	-4994	6409	-10601	-6463	8262
-1004	-6321	-11611	19696	-17529	16514	-6784	10993	16780	6256	16001	-9833	7852
6056	9651	-3017	-1439	15516	-2206	-3036	7151	-9364	16399	-17989	-1328	-8224
3227	9773	3107	-4157	-2813	10396	-6622	-10987	-13593	-15807	6195	-1792	-17972
-16090	-10201	-19900	-13652	-7393	3671	-14542	9561	-2472	-18286	3222	2008	9050
3491	-3017	18239	-14143	-18778	-16257	2202	-7999	-7226	-4302	-1435	11086	-10697
2891	13417	15237	13643	-12492	12377	-16987	10285	18778	18789	-11150	1059	-7826
16797	-16161	-10955	-1661	-19142	5098	14551	18937	-19338	-9173	-7461	14553	-12769
3633	-15147	964	14130	-9378	16086	-11440	-9967	6994	-12644	9039	-10585	-7080
-10603	-15674	9269	16474	9435	-2340	-9753	3784	10418	-18015	-7726	-8955	-4174
4263	11901	-14282	15867	-10850	3720	-7431	18165	-11482	16578	-9175	-2585	-12605
680	123	-17320	-18950	-13124	-160	11760	9515	19019	16674	2647	15268	11818
-9333	6653	16603	14553	10249	6887	-8603	1147	-16480	12349	7889	-13749	7559
7221	-623	2795	-11436	-14271	1042	-1186	-3313	18368	-18541	10123	-5782	-5044
10390	2267	17515	17052	16597	15615	-4287	-8139	-14095	-9652	7075	17438	-4336
-6507	19491	-18039	7715	-5849	19706	-9711	12982	13969	-2880	9554	14299	-3657
-16651	-18910	-4922	-9098	-10503	10860	-9428	-6630	-17220	-1925	3302	-19892	7386
-6092	-10632	-15883	-19500	-18527	-1765	-10386	237	14904	6799	-12163	-6116	12652
11376	-1367	-3984	17026	1796	-12806	-343	-14867	-879	-10160	12197	-16311	-15778
-8954	-16602	5964	-5759	-11	3401	-2128	-11247	11588	3216	13869	-5716	12859
-5978	12719	15275	3501	8582	-1835	7300	11883	-3019	-18534	9448	14756	-19669
5682	5208	-5455	18967	350	6347	9632	-19725	-4147	12257	-4204	11728	6515
4666	19419	15266	8804	6751	4706	19239	3294	-1448	-18194	-19082	-14194	-4274
-1319	-11691	-14125	-15127	15285	787	-6785	-12337	-4829	-6010	-11152	-2115	-6424
6165	-17375	7803	17601	-11466	19843	2016	-2432	16486	-1422	7295	-2122	7130
-14615	3495	17710	-3206	-10363	-14364	-15976	17521	-5376	7954	-19023	2831	-2473
-6879	11978	7692	-18781	-4657	18258	-15296	-108	-6467	-17207	-8051	1995	-4527
-6221	-8541	-19636	12247	9913	5969	15332	163	-5125	-9246	9770	-4425	15381
-16751	-5861	-3041	-12863	19722	-16458	-13288	2739	-10240	-19787	-11119	-19537	15037
-19484	-15973	-19979	7070	13495	7480	14036	16694	-454	13607	-8082	-16102	10211
16822	10300	-10497	-12223	-6656	-16229	-12043	-10314	19724	5607	14422	8783	14803
19975	-7878	-11654	-7629	-15003	19007	-13885	12572	4346	-9446	13947	-9647	13217
-2291	8889	-15362	-17682	-9987	-8522	-19944	-11270	-300	-1914	-16680	6783	3933
-12125	-480	-9203	-11213	-1170	6570	-18854	-4932	7715	13873	-800	11424	-13044
-13179	-17639	18146	-3937	3502	13943	-14140	-17154	15171	4525	4086	-15503	-6463
-4148	-16907	12324	-4051	-12871	12502	5203	18478	1326	971	16826	-8144	-8809
18308	2706	15726	1778	1577	-5123	-10600	-13278	-8092	992	9684	-1693	5769
-15802	-16559	6389	12531	5457	5392	10893	1374	2380	-784	-13876	-12636	12397
-13077	-16978	3267	8917	-9262	1853	-18228	-11301	-6666	-11654	12905	8060	-1306
19572	-19901	7512	-18034	-15649	3517	-5657	-18862	1185	-56	-19082	4876	-883
-19462	-12052	14421	7561	9301	9631	500	-19758	-18831	1972	-9490	10126	7474
1192	12155	8149	-4192	-9996	16941	9987	-8392	12749	14241	-12472	1930	10372
-6389	-754	-9716	999	12267	19294	5738	-2436	-4186	15244	-3488	-19764	-5804
-1986	4377	3908	-1298	-2306	7834	-19899	15295	-5407	-5737	-13736	-4357	5187
13509	-8229	9027	14689	3721	3067	-16955	1132	9634	-15215	13949	-14956	-12711
-11522	-16728	-11007	-14714	4378	19747	-11850	260	7284	-5220	-9227	3756	-14132
12181	-8413	-8133	-13462	-17446	16958	16912	-402	-13268	3775	15586	-15820	-18212
-2984	10156	5316	3828	10911	6658	3002	7561	3372	-17890	1756	-11231	8547
-18836	-688	9816	-10363	-4368	15762	4174	-5567	7109	-1282	8314	2450	10202
13635	-14683	-7242	18768	1749	1005	-6951	-6790	-14179	-3427	-18581	-9803	-6627
2051	9045	15431	10065	-8339	13126	10052	13322	11525	16516	-4002	-7149	-5854
-4393	14805	-1753	-11055	17808	-17340	16111	6064	12801	-3794	-18328	-15659	-18303
-2273	-734	-14078	-6679	13501	-12488	11575	-1119	-2695	-13635	-14202	-5626	19354
2461	10740	493	16952	18877	2821	-17536	-19622	3278	4844	6477	-14798	19122
16339	11904	8974	-5750	-2206	17690	-12524	4947	14572	-17397	-3320	-19672	1362
-4697	-8453	10192	-6916	14996	10661	8016	-15489	6804	-13115	7182	-9150	-4891
